Ligne;Mois;Annee;Loyer;LoyerPercu;LoyerImposable;CapitalRestantDu;Interets;InteretsAnnuels;Mensualite;MensualiteAnnuelle;AssurancePret;AssurantePretAnnuelle;AssurancePNO;EvolPNO;AssurancePNUAnnuelle;AssuranceGRL;AssuranceGRLAnnuelle;AssuranceCopro;AssuranceCoproAnnuelle;ChargesCopro;ChargesCoproAnnuelle;ChargesIndividuel;AutresCharges;AutresChargesAnnuelles;AutresRevenus;ChargesSCI;FraisAgence;FraisAgenceAnnuel;TaxeFonciere;TaxeFonciereAnnuelle;TravauxRenovation;TravauxRenovationAnnuel;TravauxEntretien;TravauxEntretienAnnuel;Tresorerie;Tresorerie Cumulee;DureeRestanteAnticipeIndiv;DateRemAnticipeIndiv;DateRemAnticipeIndivCalc;NbPartsFiscales;MontantImposableIndiv;Régime fiscal indiv;TotalImposable;TxImpots;MontantImpots;MontantCSG;ChargesDeductiblesCommunes;ChargesLMNP;AmortiBati;AmortiMeubles;TravauxRenovDeduc;TravauxRenovNonDeduc;MontantImposableSCI;ImpotsSCI;TresorerieSCI;DividendeVerse;TresorerieSCIRestante;TresorerieSCIRestanteCumulee;DureeRestanteAnticipeSCI;DateRemAnticipeSCI;DateRemAnticipeSCICalculee;TotalImposable;TxImpotsAssocie;ImpotsAssocie;CSGAssocie;DividendeNetAssocie;
0;5;2018;600;550;550;84950;55,22;;8525,4;;212,38;;29,17;;;10;10;0;0;50;50;419,27;0;;139,58;;0;;58,33;58,33;;;4,17;;-8361,94;-8361,94;1200;Mai 2118;25421;1;130,73;Reel;270,31;0;0;22,49;419,27;0;266,67;0;0;0;0;;;;;;;;;270,31;;;;;
1;6;2018;600;550;550;76479,82;49,71;;8525,4;;212,38;;29,17;;;10;20;0;0;50;100;413,76;0;;139,58;;0;;58,33;116,66;;;4,17;;-8362,88;-16724,82;1200;Juin 2118;25422;1;136,24;Reel;275,82;0;0;23,43;413,76;0;300;0;0;0;0;;;;;;;;;275,82;;;;;
2;7;2018;600;550;550;68004,13;44,2;;8525,4;;212,38;;29,17;;;10;30;0;0;50;150;408,25;0;;139,58;;0;;58,33;174,99;;;4,17;;-8363,83;-25088,65;1200;Juillet 2118;25423;1;141,75;Reel;281,33;0;0;24,38;408,25;0;300;29,76;0;0;0;;;;;;;;;281,33;;;;;
3;8;2018;600;550;550;59522,93;38,69;;8525,4;;212,38;;29,17;;;10;40;0;0;50;200;402,74;0;;139,58;;0;;58,33;233,32;;;4,17;;-8364,78;-33453,43;1200;Aout 2118;25424;1;147,26;Reel;286,84;0;0;25,33;402,74;0;300;29,76;0;0;0;;;;;;;;;286,84;;;;;
4;9;2018;600;550;550;51036,22;33,17;;8525,4;;212,38;;29,17;;;10;50;0;0;50;250;397,22;0;;139,58;;0;;58,33;291,65;;;4,17;;-8365,73;-41819,16;1200;Septembre 2118;25425;1;152,78;Reel;292,36;0;0;26,28;397,22;0;300;29,76;0;0;0;;;;;;;;;292,36;;;;;
5;10;2018;600;550;550;42543,99;27,65;;8525,4;;212,38;;29,17;;;10;60;0;0;50;300;391,7;0;;139,58;;0;;58,33;349,98;;;4,17;;-8366,68;-50185,84;1200;Octobre 2118;25426;1;158,3;Reel;297,88;0;0;27,23;391,7;0;300;29,76;0;0;0;;;;;;;;;297,88;;;;;
6;11;2018;600;550;550;34046,24;22,13;;8525,4;;212,38;;29,17;;;10;70;0;0;50;350;386,18;0;;139,58;;0;;58,33;408,31;;;4,17;;-8367,63;-58553,47;1200;Novembre 2118;25427;1;163,82;Reel;303,4;0;0;28,18;386,18;0;300;29,76;0;0;0;;;;;;;;;303,4;;;;;
7;12;2018;600;550;550;25542,97;16,6;;8525,4;;212,38;;29,17;;;10;80;0;0;50;400;400,65;0;;139,58;;0;;58,33;466,64;;;4,17;;-8365,14;-66918,61;1200;Décembre 2119;25440;1;149,35;Reel;288,93;0;0;25,69;380,65;0;300;29,76;0;0;0;;;;;;;;;288,93;;;;;
8;1;2019;600;550;550;17034,17;11,07;;8525,4;;212,38;;29,17;;;10;20;0;0;50;100;375,12;0;;139,58;;0;;58,33;116,66;;;4,17;;-8369,53;-75288,14;1200;Janvier 2119;25429;1;174,88;Reel;314,46;0;0;30,08;375,12;0;300;29,76;0;0;0;;;;;;;;;314,46;;;;;
9;2;2019;600;550;550;8519,84;5,54;;8525,4;;212,38;;29,17;;;10;30;0;0;50;150;369,59;0;;139,58;;0;;58,33;174,99;;;4,17;;-8370,48;-83658,62;1200;Février 2119;25430;1;180,41;Reel;319,99;0;0;31,03;369,59;0;300;29,76;0;0;0;;;;;;;;;319,99;;;;;
10;3;2019;600;550;550;0;0;;0;;0;;29,17;;;10;40;0;0;50;200;151,67;0;;139,58;;0;;58,33;233,32;;;4,17;;303,73;;1200;Mars 2119;25431;1;398,33;MicroFoncier;689,58;0;0;94,6;151,67;0;300;29,76;0;0;0;;;;;;;;;689,58;;;;;
11;4;2019;600;550;550;0;0;;0;;0;;30,05;;;10,2;50,2;0;0;51,5;251,5;151,67;0;;147,26;;0;;58,62;291,94;;;4,38;;303,73;;1200;Avril 2119;25432;1;398,33;MicroFoncier;697,26;0;0;94,6;151,67;0;300;29,76;0;0;0;;;;;;;;;697,26;;;;;
12;5;2019;600;550;550;0;0;;0;;0;;30,05;;;10,2;60,4;0;0;51,5;303;154,75;0;;147,26;;0;;58,62;350,56;;;4,38;;300,65;;1200;Mai 2119;25433;1;395,25;MicroFoncier;697,26;0;0;94,6;154,75;0;300;29,76;0;0;0;;;;;;;;;697,26;;;;;
13;6;2019;600;550;550;0;0;;0;;0;;30,05;;;10,2;70,6;0;0;51,5;354,5;154,75;0;;147,26;;0;;58,62;409,18;;;4,38;;300,65;;1200;Juin 2119;25434;1;395,25;MicroFoncier;697,26;0;0;94,6;154,75;0;300;29,76;0;0;0;;;;;;;;;697,26;;;;;
14;7;2019;600;550;550;0;0;;0;;0;;30,05;;;10,2;80,8;0;0;51,5;406;154,75;0;;147,26;;0;;58,62;467,8;;;4,38;;300,65;;1200;Juillet 2119;25435;1;395,25;MicroFoncier;697,26;0;0;94,6;154,75;0;300;29,76;0;0;0;;;;;;;;;697,26;;;;;
15;8;2019;600;550;550;0;0;;0;;0;;30,05;;;10,2;91;0;0;51,5;457,5;154,75;0;;147,26;;0;;58,62;526,42;;;4,38;;300,65;;1200;Aout 2119;25436;1;395,25;MicroFoncier;697,26;0;0;94,6;154,75;0;300;29,76;0;0;0;;;;;;;;;697,26;;;;;
16;9;2019;600;550;550;0;0;;0;;0;;30,05;;;10,2;101,2;0;0;51,5;509;154,75;0;;147,26;;0;;58,62;585,04;;;4,38;;300,65;;1200;Septembre 2119;25437;1;395,25;MicroFoncier;697,26;0;0;94,6;154,75;0;300;29,76;0;0;0;;;;;;;;;697,26;;;;;
17;10;2019;600;550;550;0;0;;0;;0;;30,05;;;10,2;111,4;0;0;51,5;560,5;154,75;0;;147,26;;0;;58,62;643,66;;;4,38;;300,65;;1200;Octobre 2119;25438;1;395,25;MicroFoncier;697,26;0;0;94,6;154,75;0;300;29,76;0;0;0;;;;;;;;;697,26;;;;;
18;11;2019;600;550;550;0;0;;0;;0;;30,05;;;10,2;121,6;0;0;51,5;612;154,75;0;;147,26;;0;;58,62;702,28;;;4,38;;300,65;;1200;Novembre 2119;25439;1;395,25;MicroFoncier;697,26;0;0;94,6;154,75;0;300;29,76;0;0;0;;;;;;;;;697,26;;;;;
