Ligne;Mois;Annee;Loyer;LoyerPercu;LoyerImposable;CapitalRestantDu;Interets;InteretsAnnuels;Mensualite;MensualiteAnnuelle;AssurancePret;AssurantePretAnnuelle;AssurancePNO;EvolPNO;AssurancePNUAnnuelle;AssuranceGRL;AssuranceGRLAnnuelle;AssuranceCopro;AssuranceCoproAnnuelle;ChargesCopro;ChargesCoproAnnuelle;ChargesIndividuel;AutresCharges;AutresChargesAnnuelles;AutresRevenus;ChargesSCI;FraisAgence;FraisAgenceAnnuel;TaxeFonciere;TaxeFonciereAnnuelle;TravauxRenovation;TravauxRenovationAnnuel;TravauxEntretien;TravauxEntretienAnnuel;Tresorerie;Tresorerie Cumulee;DureeRestanteAnticipeIndiv;DateRemAnticipeIndiv;DateRemAnticipeIndivCalc;NbPartsFiscales;MontantImposableIndiv;Régime fiscal indiv;TotalImposable;TxImpots;MontantImpots;MontantCSG;ChargesDeductiblesCommunes;ChargesLMNP;AmortiBati;AmortiMeubles;TravauxRenovDeduc;TravauxRenovNonDeduc;MontantImposableSCI;ImpotsSCI;TresorerieSCI;DividendeVerse;TresorerieSCIRestante;TresorerieSCIRestanteCumulee;DureeRestanteAnticipeSCI;DateRemAnticipeSCI;DateRemAnticipeSCICalculee;TotalImposable;TxImpotsAssocie;ImpotsAssocie;CSGAssocie;DividendeNetAssocie;
0;1;2019;0;0;0;203000;279,13;;993,63;;50,75;;75;;;0;0;0;0;130,42;260,84;673,31;0;;5119,58;;40;;300;600;;;0;;-1589,8;-1589,8;1200;Janvier 2119;25429;2;0;Reel;5119,58;30;0;0;875,3;19201,99;0;0;0;0;0;;;;;;;;;5119,58;;;;;
1;2;2019;0;0;0;202285,5;278,14;;993,63;;50,75;;75;;;0;0;0;0;130,42;391,26;1345,86;0;;5119,58;;40;;300;900;;;0;;-1589,8;-3179,6;1200;Février 2119;25430;2;0;Reel;5119,58;30;0;0;874,31;19403,75;0;0;0;0;0;;;;;;;;;5119,58;;;;;
2;3;2019;0;0;0;201570,01;277,16;;993,63;;50,75;;75;;;0;0;0;0;130,42;521,68;2017,65;0;;5119,58;;40;;300;1200;;;0;;-1589,8;-4769,4;1200;Mars 2119;25431;2;0;Reel;5119,58;30;0;0;873,33;19605,29;0;0;0;0;0;;;;;;;;;5119,58;;;;;
3;4;2019;1814,4;1663,2;1650;200853,54;276,17;;993,63;;50,75;;75;;;0;0;0;0;130,42;652,1;2688,68;0;;5119,58;;40;;300;1500;;;0;;73,4;-4696;1200;Avril 2119;25432;2;0;NC;5119,58;30;0;0;872,34;19934,48;554,17;0;0;0;0;;;;;;;;;5119,58;;;;;
4;5;2019;1814,4;1663,2;1650;200136,08;275,19;;993,63;;50,75;;75;;;0;0;0;0;130,42;782,52;1695,76;0;;5119,58;;40;;300;1800;;;0;;73,4;-4622,6;1200;Mai 2119;25433;2;0;NC;5119,58;30;0;0;871,36;20263,45;554,17;0;0;0;0;;;;;;;;;5119,58;;;;;
5;6;2019;1814,4;1663,2;1650;199417,64;274,2;;993,63;;50,75;;75;;;0;0;0;0;130,42;912,94;702,08;0;;5119,58;;40;;300;2100;;;0;;73,4;-4549,2;1200;Juin 2119;25434;2;947,92;NC;5119,58;30;0;0;870,37;20592,19;554,17;0;0;0;0;;;;;;;;;5119,58;;;;;
6;7;2019;1814,4;1663,2;1650;198698,21;273,21;;993,63;;50,75;;75;;;0;0;0;0;130,42;1043,36;668,75;0;;5119,58;;40;;300;2400;;;0;;73,4;-4475,8;1200;Juillet 2119;25435;2;981,25;NC;5119,58;30;0;0;869,38;20920,7;554,17;0;0;0;0;;;;;;;;;5119,58;;;;;
7;8;2019;1814,4;1663,2;1650;197977,79;272,22;;993,63;;50,75;;75;;;0;0;0;0;130,42;1173,78;667,99;0;;5119,58;;40;;300;2700;;;0;;73,4;-4402,4;1200;Aout 2119;25436;2;982,01;NC;5119,58;30;0;0;868,39;21248,98;554,17;0;0;0;0;;;;;;;;;5119,58;;;;;
8;9;2019;1814,4;1663,2;1650;197256,38;271,23;;993,63;;50,75;;75;;;0;0;0;0;130,42;1304,2;667,23;0;;5119,58;;40;;300;3000;;;0;;73,4;-4329;1200;Septembre 2119;25437;2;982,77;NC;5119,58;30;0;0;867,4;21577,03;554,17;0;0;0;0;;;;;;;;;5119,58;;;;;
9;10;2019;1814,4;1663,2;1650;196533,98;270,23;;993,63;;50,75;;75;;;0;0;0;0;130,42;1434,62;666,46;0;;5119,58;;40;;300;3300;;;0;;73,4;-4255,6;1200;Octobre 2119;25438;2;983,54;NC;5119,58;30;0;0;866,4;21904,85;554,17;0;0;0;0;;;;;;;;;5119,58;;;;;
