Ligne;Mois;Annee;Loyer;LoyerPercu;LoyerImposable;CapitalRestantDu;Interets;InteretsAnnuels;Mensualite;MensualiteAnnuelle;AssurancePret;AssurantePretAnnuelle;AssurancePNO;EvolPNO;AssurancePNUAnnuelle;AssuranceGRL;AssuranceGRLAnnuelle;AssuranceCopro;AssuranceCoproAnnuelle;ChargesCopro;ChargesCoproAnnuelle;ChargesIndividuel;AutresCharges;AutresChargesAnnuelles;AutresRevenus;ChargesSCI;FraisAgence;FraisAgenceAnnuel;TaxeFonciere;TaxeFonciereAnnuelle;TravauxRenovation;TravauxRenovationAnnuel;TravauxEntretien;TravauxEntretienAnnuel;Tresorerie;Tresorerie Cumulee;DureeRestanteAnticipeIndiv;DateRemAnticipeIndiv;DateRemAnticipeIndivCalc;NbPartsFiscales;MontantImposableIndiv;Régime fiscal indiv;TotalImposable;TxImpots;MontantImpots;MontantCSG;ChargesDeductiblesCommunes;ChargesLMNP;AmortiBati;AmortiMeubles;TravauxRenovDeduc;TravauxRenovNonDeduc;MontantImposableSCI;ImpotsSCI;TresorerieSCI;DividendeVerse;TresorerieSCIRestante;TresorerieSCIRestanteCumulee;DureeRestanteAnticipeSCI;DateRemAnticipeSCI;DateRemAnticipeSCICalculee;TotalImposable;TxImpotsAssocie;ImpotsAssocie;CSGAssocie;DividendeNetAssocie;
0;3;2019;0;0;0;28500;23,75;;124,11;;7,13;;8,33;;;14,17;14,17;0;0;29,17;29,17;149,22;0;;2129,17;;0;;62,5;62,5;;;4,17;;-249,58;-249,58;1200;Mars 2119;25431;1;0;Reel;2129,17;14;0;0;149,22;0;0;0;0;0;0;;;;;;;;;2129,17;;;;;
1;4;2019;0;0;0;28399,64;23,67;;124,11;;7,13;;8,33;;;14,17;28,34;0;0;29,17;58,34;298,36;0;;2129,17;;0;;62,5;125;;;4,17;;-249,58;-499,16;1200;Avril 2119;25432;1;0;Reel;2129,17;14;0;0;149,14;0;0;0;0;0;0;;;;;;;;;2129,17;;;;;
2;5;2019;0;0;0;28299,2;23,58;;124,11;;7,13;;8,33;;;14,17;42,51;0;0;29,17;87,51;447,41;0;;2129,17;;0;;62,5;187,5;;;4,17;;-249,58;-748,74;1200;Mai 2119;25433;1;0;Reel;2129,17;14;0;0;149,05;0;0;0;0;0;0;;;;;;;;;2129,17;;;;;
3;6;2019;0;0;0;28198,67;23,5;;124,11;;7,13;;8,33;;;14,17;56,68;0;0;29,17;116,68;596,38;0;;2129,17;;0;;62,5;250;;;4,17;;-249,58;-998,32;1200;Juin 2119;25434;1;0;Reel;2129,17;14;0;0;148,97;0;0;0;0;0;0;;;;;;;;;2129,17;;;;;
4;7;2019;0;0;0;28098,06;23,42;;124,11;;7,13;;8,33;;;14,17;70,85;0;0;29,17;145,85;745,27;0;;2129,17;;0;;62,5;312,5;;;4,17;;-249,58;-1247,9;1200;Juillet 2119;25435;1;0;Reel;2129,17;14;0;0;148,89;0;0;0;0;0;0;;;;;;;;;2129,17;;;;;
5;8;2019;0;0;0;27997,37;23,33;;124,11;;7,13;;8,33;;;14,17;85,02;0;0;29,17;175,02;894,07;0;;2129,17;;0;;62,5;375;;;4,17;;-249,58;-1497,48;1200;Aout 2119;25436;1;0;Reel;2129,17;14;0;0;148,8;0;0;0;0;0;0;;;;;;;;;2129,17;;;;;
6;9;2019;420;385;385;27896,59;23,25;;124,11;;7,13;;8,33;;;14,17;99,19;0;0;29,17;204,19;1042,79;0;;2129,17;;0;;62,5;437,5;;;4,17;;135,42;-1362,06;1200;Septembre 2119;25437;1;0;Reel;2129,17;14;0;0;148,72;0;131,95;0;0;0;0;;;;;;;;;2129,17;;;;;
7;10;2019;420;385;385;27795,73;23,16;;124,11;;7,13;;8,33;;;14,17;113,36;0;0;29,17;233,36;806,42;0;;2129,17;;0;;62,5;500;;;4,17;;135,42;-1226,64;1200;Octobre 2119;25438;1;0;Reel;2129,17;14;0;0;148,63;0;131,95;0;0;0;0;;;;;;;;;2129,17;;;;;
8;11;2019;420;385;385;27694,78;23,08;;124,11;;7,13;;8,33;;;14,17;127,53;0;0;29,17;262,53;569,97;0;;2129,17;;0;;62,5;562,5;;;4,17;;135,42;-1091,22;1200;Novembre 2119;25439;1;0;Reel;2129,17;14;0;0;148,55;0;131,95;0;0;0;0;;;;;;;;;2129,17;;;;;
9;12;2019;420;385;385;27593,75;22,99;;124,11;;7,13;;8,33;;;14,17;141,7;0;0;29,17;291,7;353,43;0;;2129,17;;0;;62,5;625;;;4,17;;125,57;-965,65;1200;Décembre 2120;25452;1;31,57;Reel;2160,74;14;4,42;5,43;148,46;0;131,95;0;0;0;0;;;;;;;;;2160,74;;;;;
