Ligne;Mois;Annee;Loyer;LoyerPercu;LoyerImposable;CapitalRestantDu;Interets;InteretsAnnuels;Mensualite;MensualiteAnnuelle;AssurancePret;AssurantePretAnnuelle;AssurancePNO;EvolPNO;AssurancePNUAnnuelle;AssuranceGRL;AssuranceGRLAnnuelle;AssuranceCopro;AssuranceCoproAnnuelle;ChargesCopro;ChargesCoproAnnuelle;ChargesIndividuel;AutresCharges;AutresChargesAnnuelles;AutresRevenus;ChargesSCI;FraisAgence;FraisAgenceAnnuel;TaxeFonciere;TaxeFonciereAnnuelle;TravauxRenovation;TravauxRenovationAnnuel;TravauxEntretien;TravauxEntretienAnnuel;Tresorerie;Tresorerie Cumulee;DureeRestanteAnticipeIndiv;DateRemAnticipeIndiv;DateRemAnticipeIndivCalc;NbPartsFiscales;MontantImposableIndiv;Régime fiscal indiv;TotalImposable;TxImpots;MontantImpots;MontantCSG;ChargesDeductiblesCommunes;ChargesLMNP;AmortiBati;AmortiMeubles;TravauxRenovDeduc;TravauxRenovNonDeduc;MontantImposableSCI;ImpotsSCI;TresorerieSCI;DividendeVerse;TresorerieSCIRestante;TresorerieSCIRestanteCumulee;DureeRestanteAnticipeSCI;DateRemAnticipeSCI;DateRemAnticipeSCICalculee;TotalImposable;TxImpotsAssocie;ImpotsAssocie;CSGAssocie;DividendeNetAssocie;
0;11;2019;0;0;0;320000;373,33;;1529,47;;101,33;;66,67;;;0;0;0;0;116,67;116,67;806,86;0;;6500;;41,67;;225;225;;;16,67;;-2097,48;-2097,48;1200;Novembre 2119;25439;3;0;Reel;6500;14;0;0;941,34;19134,48;0;0;0;0;0;;;;;;;;;6500;;;;;
1;12;2019;0;0;0;318843,86;371,98;;1529,47;;101,33;;66,67;;;0;0;0;0;116,67;233,34;1612,57;0;;6500;;41,67;;225;450;;;16,67;;-2097,48;-4194,96;1200;Décembre 2120;25452;3;0;Reel;6500;14;0;0;939,99;19268,76;0;0;0;0;0;;;;;;;;;6500;;;;;
2;1;2020;0;0;0;317686,37;370,63;;1529,47;;101,33;;66,67;;;0;0;0;0;116,67;233,34;2417,12;0;;6500;;41,67;;225;450;;;16,67;;-2097,48;-6292,44;1200;Janvier 2120;25441;3;0;Reel;6500;14;0;0;938,64;19402,85;0;0;0;0;0;;;;;;;;;6500;;;;;
3;2;2020;0;0;0;316527,53;369,28;;1529,47;;101,33;;66,67;;;0;0;0;0;116,67;350,01;3220,51;0;;6500;;41,67;;225;675;;;16,67;;-2097,48;-8389,92;1200;Février 2120;25442;3;0;Reel;6500;14;0;0;937,29;19536,75;0;0;0;0;0;;;;;;;;;6500;;;;;
4;3;2020;0;0;0;315367,34;367,93;;1529,47;;101,33;;66,67;;;0;0;0;0;116,67;466,68;4022,74;0;;6500;;41,67;;225;900;;;16,67;;-2097,48;-10487,4;1200;Mars 2120;25443;3;0;Reel;6500;14;0;0;935,94;19670,46;0;0;0;0;0;;;;;;;;;6500;;;;;
5;4;2020;0;0;0;314205,8;366,57;;1529,47;;101,33;;66,67;;;0;0;0;0;116,67;583,35;4823,81;0;;6500;;41,67;;225;1125;;;16,67;;-2097,48;-12584,88;1200;Avril 2120;25444;3;0;Reel;6500;14;0;0;934,58;19803,97;0;0;0;0;0;;;;;;;;;6500;;;;;
6;5;2020;0;0;0;313042,9;365,22;;1529,47;;101,33;;66,67;;;0;0;0;0;116,67;700,02;5623,72;0;;6500;;41,67;;225;1350;;;16,67;;-2097,48;-14682,36;1200;Mai 2120;25445;3;0;Reel;6500;14;0;0;933,23;20322,6;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
7;6;2020;0;0;0;311878,65;363,86;;1529,47;;101,33;;66,67;;;0;0;0;0;116,67;816,69;6422,47;0;;6500;;41,67;;225;1575;;;16,67;;-2097,48;-16779,84;1200;Juin 2120;25446;3;0;Reel;6500;14;0;0;931,87;20841,04;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
8;7;2020;0;0;0;310713,04;362,5;;1529,47;;101,33;;66,67;;;0;0;0;0;116,67;933,36;7220,05;0;;6500;;41,67;;225;1800;;;16,67;;-2097,48;-18877,32;1200;Juillet 2120;25447;3;0;Reel;6500;14;0;0;930,51;21359,28;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
9;8;2020;0;0;0;309546,07;361,14;;1529,47;;101,33;;66,67;;;0;0;0;0;116,67;1050,03;8016,46;0;;6500;;41,67;;225;2025;;;16,67;;-2097,48;-20974,8;1200;Aout 2120;25448;3;0;Reel;6500;14;0;0;929,15;21877,33;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
