Ligne;Mois;Annee;Loyer;LoyerPercu;LoyerImposable;CapitalRestantDu;Interets;InteretsAnnuels;Mensualite;MensualiteAnnuelle;AssurancePret;AssurantePretAnnuelle;AssurancePNO;EvolPNO;AssurancePNUAnnuelle;AssuranceGRL;AssuranceGRLAnnuelle;AssuranceCopro;AssuranceCoproAnnuelle;ChargesCopro;ChargesCoproAnnuelle;ChargesIndividuel;AutresCharges;AutresChargesAnnuelles;AutresRevenus;ChargesSCI;FraisAgence;FraisAgenceAnnuel;TaxeFonciere;TaxeFonciereAnnuelle;TravauxRenovation;TravauxRenovationAnnuel;TravauxEntretien;TravauxEntretienAnnuel;Tresorerie;Tresorerie Cumulee;DureeRestanteAnticipeIndiv;DateRemAnticipeIndiv;DateRemAnticipeIndivCalc;NbPartsFiscales;MontantImposableIndiv;Régime fiscal indiv;TotalImposable;TxImpots;MontantImpots;MontantCSG;ChargesDeductiblesCommunes;ChargesLMNP;AmortiBati;AmortiMeubles;TravauxRenovDeduc;TravauxRenovNonDeduc;MontantImposableSCI;ImpotsSCI;TresorerieSCI;DividendeVerse;TresorerieSCIRestante;TresorerieSCIRestanteCumulee;DureeRestanteAnticipeSCI;DateRemAnticipeSCI;DateRemAnticipeSCICalculee;TotalImposable;TxImpotsAssocie;ImpotsAssocie;CSGAssocie;DividendeNetAssocie;
10;9;2020;0;0;0;308377,74;359,77;;1529,47;;101,33;;66,67;;;0;0;0;0;116,67;1166,7;8811,7;0;;6500;;41,67;;225;2250;;;16,67;;-2097,48;-23072,28;1200;Septembre 2120;25449;3;0;Reel;6500;14;0;0;927,78;22395,18;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
11;10;2020;0;0;0;307208,04;358,41;;1529,47;;101,33;;67,47;;;0;0;0;0;118,07;1284,77;9605,77;0;;6500;;42,17;;227,7;2477,7;;;16,87;;-2097,48;-25169,76;1200;Octobre 2120;25450;3;0;Reel;6500;14;0;0;926,42;22912,84;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
12;11;2020;0;0;0;306036,98;357,04;;1529,47;;101,33;;67,47;;;0;0;0;0;118,07;1402,84;10403,47;0;;6500;;42,17;;227,7;2705,4;;;16,87;;-2103,08;-27272,84;1200;Novembre 2120;25451;3;0;Reel;6500;14;0;0;930,65;23431,1;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
13;12;2020;0;0;0;304864,55;355,68;;1529,47;;101,33;;67,47;;;0;0;0;0;118,07;1520,91;11200;0;;6500;;42,17;;227,7;2933,1;;;16,87;;-2103,08;-29375,92;1200;Décembre 2121;25464;3;0;Reel;6500;14;0;0;929,29;23949,17;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
14;1;2021;0;0;0;303690,76;354,31;;1529,47;;101,33;;67,47;;;0;0;0;0;118,07;236,14;11995,36;0;;6500;;42,17;;227,7;455,4;;;16,87;;-2103,08;-31479;1200;Janvier 2121;25453;3;0;Reel;6500;14;0;0;927,92;24467,04;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
15;2;2021;0;0;0;302515,6;352,93;;1529,47;;101,33;;67,47;;;0;0;0;0;118,07;354,21;12789,54;0;;6500;;42,17;;227,7;683,1;;;16,87;;-2103,08;-33582,08;1200;Février 2121;25454;3;0;Reel;6500;14;0;0;926,54;24984,72;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
16;3;2021;0;0;0;301339,06;351,56;;1529,47;;101,33;;67,47;;;0;0;0;0;118,07;472,28;13582,54;0;;6500;;42,17;;227,7;910,8;;;16,87;;-2103,08;-35685,16;1200;Mars 2121;25455;3;0;Reel;6500;14;0;0;925,17;25502,2;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
17;4;2021;0;0;0;300161,15;350,19;;1529,47;;101,33;;67,47;;;0;0;0;0;118,07;590,35;14374,37;0;;6500;;42,17;;227,7;1138,5;;;16,87;;-2103,08;-37788,24;1200;Avril 2121;25456;3;0;Reel;6500;14;0;0;923,8;26019,49;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
18;5;2021;0;0;0;298981,87;348,81;;1529,47;;101,33;;67,47;;;0;0;0;0;118,07;708,42;15165,02;0;;6500;;42,17;;227,7;1366,2;;;16,87;;-2103,08;-39891,32;1200;Mai 2121;25457;3;0;Reel;6500;14;0;0;922,42;26536,58;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
19;6;2021;0;0;0;297801,21;347,43;;1529,47;;101,33;;67,47;;;0;0;0;0;118,07;826,49;15954,48;0;;6500;;42,17;;227,7;1593,9;;;16,87;;-2103,08;-41994,4;1200;Juin 2121;25458;3;0;Reel;6500;14;0;0;921,04;27053,47;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
20;7;2021;0;0;0;296619,17;346,06;;1529,47;;101,33;;67,47;;;0;0;0;0;118,07;944,56;16742,77;0;;6500;;42,17;;227,7;1821,6;;;16,87;;-2103,08;-44097,48;1200;Juillet 2121;25459;3;0;Reel;6500;14;0;0;919,67;27570,17;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
21;8;2021;0;0;0;295435,76;344,68;;1529,47;;101,33;;67,47;;;0;0;0;0;118,07;1062,63;17529,88;0;;6500;;42,17;;227,7;2049,3;;;16,87;;-2103,08;-46200,56;1200;Aout 2121;25460;3;0;Reel;6500;14;0;0;918,29;28086,67;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
22;9;2021;0;0;0;294250,97;343,29;;1529,47;;101,33;;67,47;;;0;0;0;0;118,07;1180,7;18315,79;0;;6500;;42,17;;227,7;2277;;;16,87;;-2103,08;-48303,64;1200;Septembre 2121;25461;3;0;Reel;6500;14;0;0;916,9;28602,97;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
23;10;2021;0;0;0;293064,79;341,91;;1529,47;;101,33;;68,28;;;0;0;0;0;119,49;1300,19;19100,52;0;;6500;;42,68;;230,43;2507,43;;;17,07;;-2103,08;-50406,72;1200;Octobre 2121;25462;3;0;Reel;6500;14;0;0;915,52;29119,07;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
24;11;2021;0;0;0;291877,23;340,52;;1529,47;;101,33;;68,28;;;0;0;0;0;119,49;1419,68;19888,92;0;;6500;;42,68;;230,43;2737,86;;;17,07;;-2108,75;-52515,47;1200;Novembre 2121;25463;3;0;Reel;6500;14;0;0;919,8;29635,78;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
25;12;2021;0;0;0;290688,28;339,14;;1529,47;;101,33;;68,28;;;0;0;0;0;119,49;1539,17;20676,14;0;;6500;;42,68;;230,43;2968,29;;;17,07;;-2108,75;-54624,22;1200;Décembre 2122;25476;3;0;Reel;6500;14;0;0;918,42;30152,3;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
26;1;2022;0;0;0;289497,95;337,75;;1529,47;;101,33;;68,28;;;0;0;0;0;119,49;238,98;21462,17;0;;6500;;42,68;;230,43;460,86;;;17,07;;-2108,75;-56732,97;1200;Janvier 2122;25465;3;0;Reel;6500;14;0;0;917,03;30668,62;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
27;2;2022;0;0;0;288306,23;336,36;;1529,47;;101,33;;68,28;;;0;0;0;0;119,49;358,47;22247;0;;6500;;42,68;;230,43;691,29;;;17,07;;-2108,75;-58841,72;1200;Février 2122;25466;3;0;Reel;6500;14;0;0;915,64;31184,74;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
28;3;2022;0;0;0;287113,12;334,97;;1529,47;;101,33;;68,28;;;0;0;0;0;119,49;477,96;23030,64;0;;6500;;42,68;;230,43;921,72;;;17,07;;-2108,75;-60950,47;1200;Mars 2122;25467;3;0;Reel;6500;14;0;0;914,25;31700,66;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
29;4;2022;0;0;0;285918,62;333,57;;1529,47;;101,33;;68,28;;;0;0;0;0;119,49;597,45;23813,08;0;;6500;;42,68;;230,43;1152,15;;;17,07;;-2108,75;-63059,22;1200;Avril 2122;25468;3;0;Reel;6500;14;0;0;912,85;32216,38;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
30;5;2022;0;0;0;284722,72;332,18;;1529,47;;101,33;;68,28;;;0;0;0;0;119,49;716,94;24594,33;0;;6500;;42,68;;230,43;1382,58;;;17,07;;-2108,75;-65167,97;1200;Mai 2122;25469;3;0;Reel;6500;14;0;0;911,46;32731,9;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
31;6;2022;0;0;0;283525,43;330,78;;1529,47;;101,33;;68,28;;;0;0;0;0;119,49;836,43;25374,38;0;;6500;;42,68;;230,43;1613,01;;;17,07;;-2108,75;-67276,72;1200;Juin 2122;25470;3;0;Reel;6500;14;0;0;910,06;33247,22;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
32;7;2022;0;0;0;282326,74;329,38;;1529,47;;101,33;;68,28;;;0;0;0;0;119,49;955,92;26153,23;0;;6500;;42,68;;230,43;1843,44;;;17,07;;-2108,75;-69385,47;1200;Juillet 2122;25471;3;0;Reel;6500;14;0;0;908,66;33762,34;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
33;8;2022;0;0;0;281126,65;327,98;;1529,47;;101,33;;68,28;;;0;0;0;0;119,49;1075,41;26930,88;0;;6500;;42,68;;230,43;2073,87;;;17,07;;-2108,75;-71494,22;1200;Aout 2122;25472;3;0;Reel;6500;14;0;0;907,26;34277,26;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
34;9;2022;0;0;0;279925,16;326,58;;1529,47;;101,33;;68,28;;;0;0;0;0;119,49;1194,9;27707,33;0;;6500;;42,68;;230,43;2304,3;;;17,07;;-2108,75;-73602,97;1200;Septembre 2122;25473;3;0;Reel;6500;14;0;0;905,86;34791,98;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
35;10;2022;0;0;0;278722,27;325,18;;1529,47;;101,33;;69,1;;;0;0;0;0;120,92;1315,82;28482,58;0;;6500;;43,19;;233,2;2537,5;;;17,27;;-2108,75;-75711,72;1200;Octobre 2122;25474;3;0;Reel;6500;14;0;0;904,46;35306,5;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
36;11;2022;0;0;0;277517,98;323,77;;1529,47;;101,33;;69,1;;;0;0;0;0;120,92;1436,74;29261,53;0;;6500;;43,19;;233,2;2770,7;;;17,27;;-2114,48;-77826,2;1200;Novembre 2122;25475;3;0;Reel;6500;14;0;0;908,78;35821,64;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
37;12;2022;0;0;0;276312,28;322,36;;1529,47;;101,33;;69,1;;;0;0;0;0;120,92;1557,66;30039,28;0;;6500;;43,19;;233,2;3003,9;;;17,27;;-2114,48;-79940,68;1200;Décembre 2123;25488;3;0;Reel;6500;14;0;0;907,37;36336,58;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
38;1;2023;0;0;0;275105,17;320,96;;1529,47;;101,33;;69,1;;;0;0;0;0;120,92;241,84;30815,83;0;;6500;;43,19;;233,2;466,4;;;17,27;;-2114,48;-82055,16;1200;Janvier 2123;25477;3;0;Reel;6500;14;0;0;905,97;36851,32;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
39;2;2023;0;0;0;273896,66;319,55;;1529,47;;101,33;;69,1;;;0;0;0;0;120,92;362,76;31591,17;0;;6500;;43,19;;233,2;699,6;;;17,27;;-2114,48;-84169,64;1200;Février 2123;25478;3;0;Reel;6500;14;0;0;904,56;37365,86;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
40;3;2023;0;0;0;272686,74;318,13;;1529,47;;101,33;;69,1;;;0;0;0;0;120,92;483,68;32365,29;0;;6500;;43,19;;233,2;932,8;;;17,27;;-2114,48;-86284,12;1200;Mars 2123;25479;3;0;Reel;6500;14;0;0;903,14;37880,19;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
41;4;2023;0;0;0;271475,4;316,72;;1529,47;;101,33;;69,1;;;0;0;0;0;120,92;604,6;33138,2;0;;6500;;43,19;;233,2;1166;;;17,27;;-2114,48;-88398,6;1200;Avril 2123;25480;3;0;Reel;6500;14;0;0;901,73;38394,32;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
42;5;2023;0;0;0;270262,65;315,31;;1529,47;;101,33;;69,1;;;0;0;0;0;120,92;725,52;33909,9;0;;6500;;43,19;;233,2;1399,2;;;17,27;;-2114,48;-90513,08;1200;Mai 2123;25481;3;0;Reel;6500;14;0;0;900,32;38908,25;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
43;6;2023;0;0;0;269048,49;313,89;;1529,47;;101,33;;69,1;;;0;0;0;0;120,92;846,44;34680,39;0;;6500;;43,19;;233,2;1632,4;;;17,27;;-2114,48;-92627,56;1200;Juin 2123;25482;3;0;Reel;6500;14;0;0;898,9;39421,98;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
44;7;2023;0;0;0;267832,91;312,47;;1529,47;;101,33;;69,1;;;0;0;0;0;120,92;967,36;35449,66;0;;6500;;43,19;;233,2;1865,6;;;17,27;;-2114,48;-94742,04;1200;Juillet 2123;25483;3;0;Reel;6500;14;0;0;897,48;39935,51;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
45;8;2023;0;0;0;266615,91;311,05;;1529,47;;101,33;;69,1;;;0;0;0;0;120,92;1088,28;36217,71;0;;6500;;43,19;;233,2;2098,8;;;17,27;;-2114,48;-96856,52;1200;Aout 2123;25484;3;0;Reel;6500;14;0;0;896,06;40448,83;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
46;9;2023;0;0;0;265397,49;309,63;;1529,47;;101,33;;69,1;;;0;0;0;0;120,92;1209,2;36984,54;0;;6500;;43,19;;233,2;2332;;;17,27;;-2114,48;-98971;1200;Septembre 2123;25485;3;0;Reel;6500;14;0;0;894,64;40961,95;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
47;10;2023;0;0;0;264177,65;308,21;;1529,47;;101,33;;69,93;;;0;0;0;0;122,37;1331,57;37750,16;0;;6500;;43,71;;236;2568;;;17,48;;-2114,48;-101085,48;1200;Octobre 2123;25486;3;0;Reel;6500;14;0;0;893,22;41474,87;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
48;11;2023;0;0;0;262956,39;306,78;;1529,47;;101,33;;69,93;;;0;0;0;0;122,37;1453,94;38519,53;0;;6500;;43,71;;236;2804;;;17,48;;-2120,29;-103205,77;1200;Novembre 2123;25487;3;0;Reel;6500;14;0;0;897,6;41988,41;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
49;12;2023;0;0;0;261733,7;305,36;;1529,47;;101,33;;69,93;;;0;0;0;0;122,37;1576,31;39287,68;0;;6500;;43,71;;236;3040;;;17,48;;-2120,29;-105326,06;1200;Décembre 2124;25500;3;0;Reel;6500;14;0;0;896,18;42501,75;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
50;1;2024;0;0;0;260509,59;303,93;;1529,47;;101,33;;69,93;;;0;0;0;0;122,37;244,74;40054,61;0;;6500;;43,71;;236;472;;;17,48;;-2120,29;-107446,35;1200;Janvier 2124;25489;3;0;Reel;6500;14;0;0;894,75;43014,89;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
51;2;2024;0;0;0;259284,05;302,5;;1529,47;;101,33;;69,93;;;0;0;0;0;122,37;367,11;40820,31;0;;6500;;43,71;;236;708;;;17,48;;-2120,29;-109566,64;1200;Février 2124;25490;3;0;Reel;6500;14;0;0;893,32;43527,82;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
52;3;2024;0;0;0;258057,08;301,07;;1529,47;;101,33;;69,93;;;0;0;0;0;122,37;489,48;41584,79;0;;6500;;43,71;;236;944;;;17,48;;-2120,29;-111686,93;1200;Mars 2124;25491;3;0;Reel;6500;14;0;0;891,89;44040,55;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
53;4;2024;0;0;0;256828,68;299,63;;1529,47;;101,33;;69,93;;;0;0;0;0;122,37;611,85;42348,03;0;;6500;;43,71;;236;1180;;;17,48;;-2120,29;-113807,22;1200;Avril 2124;25492;3;0;Reel;6500;14;0;0;890,45;44553,07;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
54;5;2024;0;0;0;255598,84;298,2;;1529,47;;101,33;;69,93;;;0;0;0;0;122,37;734,22;43110,05;0;;6500;;43,71;;236;1416;;;17,48;;-2120,29;-115927,51;1200;Mai 2124;25493;3;0;Reel;6500;14;0;0;889,02;45065,39;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
55;6;2024;0;0;0;254367,57;296,76;;1529,47;;101,33;;69,93;;;0;0;0;0;122,37;856,59;43870,83;0;;6500;;43,71;;236;1652;;;17,48;;-2120,29;-118047,8;1200;Juin 2124;25494;3;0;Reel;6500;14;0;0;887,58;45577,5;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
56;7;2024;0;0;0;253134,86;295,32;;1529,47;;101,33;;69,93;;;0;0;0;0;122,37;978,96;44630,38;0;;6500;;43,71;;236;1888;;;17,48;;-2120,29;-120168,09;1200;Juillet 2124;25495;3;0;Reel;6500;14;0;0;886,14;46089,41;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
57;8;2024;0;0;0;251900,71;293,88;;1529,47;;101,33;;69,93;;;0;0;0;0;122,37;1101,33;45388,69;0;;6500;;43,71;;236;2124;;;17,48;;-2120,29;-122288,38;1200;Aout 2124;25496;3;0;Reel;6500;14;0;0;884,7;46601,11;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
58;9;2024;0;0;0;250665,12;292,44;;1529,47;;101,33;;69,93;;;0;0;0;0;122,37;1223,7;46145,77;0;;6500;;43,71;;236;2360;;;17,48;;-2120,29;-124408,67;1200;Septembre 2124;25497;3;0;Reel;6500;14;0;0;883,26;47112,6;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
59;10;2024;0;0;0;249428,09;291;;1529,47;;101,33;;70,77;;;0;0;0;0;123,84;1347,54;46901,62;0;;6500;;44,23;;238,83;2598,83;;;17,69;;-2120,29;-126528,96;1200;Octobre 2124;25498;3;0;Reel;6500;14;0;0;881,82;47623,89;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
60;11;2024;0;0;0;248189,62;289,55;;1529,47;;101,33;;70,77;;;0;0;0;0;123,84;1471,38;47661,25;0;;6500;;44,23;;238,83;2837,66;;;17,69;;-2126,16;-128655,12;1200;Novembre 2124;25499;3;0;Reel;6500;14;0;0;886,24;48135,81;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
61;12;2024;0;0;0;246949,7;288,11;;1529,47;;101,33;;70,77;;;0;0;0;0;123,84;1595,22;48419,65;0;;6500;;44,23;;238,83;3076,49;;;17,69;;-2126,16;-130781,28;1200;Décembre 2125;25512;3;0;Reel;6500;14;0;0;884,8;48647,52;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
62;1;2025;0;0;0;245708,34;286,66;;1529,47;;101,33;;70,77;;;0;0;0;0;123,84;247,68;49176,81;0;;6500;;44,23;;238,83;477,66;;;17,69;;-2126,16;-132907,44;1200;Janvier 2125;25501;3;0;Reel;6500;14;0;0;883,35;49159,03;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
63;2;2025;0;0;0;244465,53;285,21;;1529,47;;101,33;;70,77;;;0;0;0;0;123,84;371,52;49932,72;0;;6500;;44,23;;238,83;716,49;;;17,69;;-2126,16;-135033,6;1200;Février 2125;25502;3;0;Reel;6500;14;0;0;881,9;49670,33;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
64;3;2025;0;0;0;243221,27;283,76;;1529,47;;101,33;;70,77;;;0;0;0;0;123,84;495,36;50687,39;0;;6500;;44,23;;238,83;955,32;;;17,69;;-2126,16;-137159,76;1200;Mars 2125;25503;3;0;Reel;6500;14;0;0;880,45;50181,42;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
65;4;2025;0;0;0;241975,56;282,3;;1529,47;;101,33;;70,77;;;0;0;0;0;123,84;619,2;51440,81;0;;6500;;44,23;;238,83;1194,15;;;17,69;;-2126,16;-139285,92;1200;Avril 2125;25504;3;0;Reel;6500;14;0;0;878,99;50692,3;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
66;5;2025;0;0;0;240728,39;280,85;;1529,47;;101,33;;70,77;;;0;0;0;0;123,84;743,04;52192,99;0;;6500;;44,23;;238,83;1432,98;;;17,69;;-2126,16;-141412,08;1200;Mai 2125;25505;3;0;Reel;6500;14;0;0;877,54;51202,98;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
67;6;2025;0;0;0;239479,77;279,39;;1529,47;;101,33;;70,77;;;0;0;0;0;123,84;866,88;52943,92;0;;6500;;44,23;;238,83;1671,81;;;17,69;;-2126,16;-143538,24;1200;Juin 2125;25506;3;0;Reel;6500;14;0;0;876,08;51713,45;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
68;7;2025;0;0;0;238229,69;277,93;;1529,47;;101,33;;70,77;;;0;0;0;0;123,84;990,72;53693,59;0;;6500;;44,23;;238,83;1910,64;;;17,69;;-2126,16;-145664,4;1200;Juillet 2125;25507;3;0;Reel;6500;14;0;0;874,62;52223,71;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
69;8;2025;0;0;0;236978,15;276,47;;1529,47;;101,33;;70,77;;;0;0;0;0;123,84;1114,56;54442,01;0;;6500;;44,23;;238,83;2149,47;;;17,69;;-2126,16;-147790,56;1200;Aout 2125;25508;3;0;Reel;6500;14;0;0;873,16;52733,76;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
70;9;2025;0;0;0;235725,15;275,01;;1529,47;;101,33;;70,77;;;0;0;0;0;123,84;1238,4;55189,18;0;;6500;;44,23;;238,83;2388,3;;;17,69;;-2126,16;-149916,72;1200;Septembre 2125;25509;3;0;Reel;6500;14;0;0;871,7;53243,6;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
71;10;2025;0;0;0;234470,69;273,55;;1529,47;;101,33;;71,62;;;0;0;0;0;125,33;1363,73;55935,1;0;;6500;;44,76;;241,7;2630;;;17,9;;-2126,16;-152042,88;1200;Octobre 2125;25510;3;0;Reel;6500;14;0;0;870,24;53753,23;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
72;11;2025;0;0;0;233214,77;272,08;;1529,47;;101,33;;71,62;;;0;0;0;0;125,33;1489,06;56684,86;0;;6500;;44,76;;241,7;2871,7;;;17,9;;-2132,11;-154174,99;1200;Novembre 2125;25511;3;0;Reel;6500;14;0;0;874,72;54263,5;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
73;12;2025;0;0;0;231957,38;270,62;;1529,47;;101,33;;71,62;;;0;0;0;0;125,33;1614,39;57433,37;0;;6500;;44,76;;241,7;3113,4;;;17,9;;-2132,11;-156307,1;1200;Décembre 2126;25524;3;0;Reel;6500;14;0;0;873,26;54773,57;1238,89;208,33;0;0;0;;;;;;;;;6500;;;;;
